inventory_item_container_id,inventory_item_container_name,inventory_item_container_size,inventory_item_container_measure,inventory_item_measure_per_container,inventory_item_container_price,inventory_item_container_par
1,s1IccW2pCA,XS,gal,2054,751.22,10
2,6TXtpSjWX,L,lb,7635,838.54,16
3,5iyYgd,XL,oz,3445,971.65,20
4,dwDh2ARKAD,S,per pack,8067,88.59,8
5,NopMqi2,XL,gram,908,501.25,18
6,sDfE3vkw,L,per pack,2549,173.33,1
7,iZ0mnBenVi,L,gal,8556,457.47,20
8,YyGVjsm,L,gal,9733,269.71,9
9,Ar6YWS5q,S,oz,9792,203.55,14
10,0Z1Bfhv0lH,XL,oz,8072,758.15,14
11,1D0ufMWpiw,2XL,per pack,6135,522.59,5
12,LTiRU2O,XL,lb,9149,251.63,3
13,uMOMJmr,XS,lb,9200,450.41,17
14,grKcUI,XS,lb,551,459.24,7
15,tNjPxMeJ4r,2XL,mL,4547,678.84,6
16,lFVZXE,XS,lb,8444,383.04,19
17,jykgst,XL,lb,3385,543.41,5
18,elhX3GN,S,mL,6557,613.48,15
19,sOmXAk2m,XL,mL,3576,583.98,19
20,jwMgTXQdk3fI,3XL,gal,5500,215.02,18
21,Gbptiabj,XL,oz,1327,309.45,5
22,jSE4rzNdZd,L,liter,5984,247.24,20
23,utEpInu0tGvR,L,mL,1970,34.26,18
24,taIiy02HhiW,XL,mL,7050,369.62,10
25,TiDrZA,M,gram,8344,294.14,2
26,NYkntU1KS8,XL,lb,4833,545.8,14
27,gKOxe95,M,lb,3677,106.79,9
28,IzhBE7e,L,oz,1148,515.26,1
29,lQp5on4Riu,2XL,liter,4359,388.0,7
30,gV6ggPhYf,2XL,gram,9659,832.08,18
31,zlhFe9Tdk,L,mL,2170,192.53,19
32,plXq8E,2XL,per pack,9404,804.09,5
33,nQDVLD1u,L,gram,5665,946.81,19
34,PMCzbzSMhlX1,3XL,oz,2960,593.97,19
35,QULBjk,3XL,mL,3413,68.41,7
36,7y3DqZJXVXp,M,gal,9880,379.36,14
37,nsZERvJO,XL,mL,5255,151.51,18
38,HJH5PRaRxS,XS,gram,286,80.42,18
39,yjOKgNDYs8MD,XL,gal,5916,472.55,11
40,s3BJxq,XL,oz,6627,764.77,12
41,nI03xz0Oc5,L,gal,1458,712.52,1
42,O9q5S9HkK7O,XL,gal,7843,522.11,3
43,qyxoqzOi8k,L,gal,3558,93.86,20
44,gnz98JX,S,oz,9220,409.97,7
45,2C3qm43ZqJjf,2XL,per pack,4273,161.69,7
46,14MciDP,M,per pack,5304,845.26,3
47,byaieViYMsIZ,M,liter,6199,72.33,6
48,vB7TTKE5Lay,3XL,lb,8952,702.4,4
49,8Fzpp0B,3XL,lb,2296,531.62,8
50,3NXb0Hczkd0,S,liter,5423,993.08,10
51,gQ1770,3XL,lb,7781,957.21,6
52,RHWDwNRd,XS,gal,62,339.2,13
53,i9TIHPlfKw,M,lb,7288,393.36,16
54,EcvaQq,2XL,per pack,4421,743.99,10
55,miQME0TpIch,S,gal,5916,291.81,1
56,NYMVgXZ7Jtb,XS,gal,9534,586.97,18
57,G9zPomDxkn,XS,per pack,5664,586.11,11
58,jkSuUxEw2,M,gal,8906,53.92,4
59,ZwI8QYyIO,L,liter,2179,141.97,16
60,KP72UWGeFbf,2XL,per pack,9874,631.74,12
61,Zm0qN2,XS,gram,8471,142.93,2
62,uY8oZJsN7UzM,3XL,mL,6319,309.87,15
63,g19mEKGL,3XL,gal,1368,393.49,3
64,GnXZM3B,2XL,per pack,5434,49.25,9
65,aw0cbqAEDsD,3XL,gal,4591,665.53,9
66,9NGSi6,L,mL,4412,708.3,18
67,FXneQbeg,L,gal,2755,444.08,11
68,WZTHua,3XL,liter,8886,653.74,20
69,TeXbF9Jc,XS,gal,1117,454.84,9
70,KgVVt1Vi,XS,mL,1737,161.72,8
71,tEksNH,2XL,gram,454,399.15,7
72,yfFq1xrr5X4,2XL,oz,9918,661.52,11
73,FWRuK1Xx,XL,liter,5690,590.03,1
74,W6Am73ma,L,per pack,4975,607.08,17
75,NaYH5f6KBM,M,lb,2164,275.43,14
76,0IPpKSkt,S,gal,5973,338.33,15
77,ngsXkvS,S,liter,525,640.97,2
78,A99YFf,2XL,liter,960,559.63,6
79,VjQTslXF,XS,per pack,2387,973.39,13
80,XXXwQRJ6Y,S,lb,8127,359.84,12
81,DsQqxp,XL,mL,5339,416.59,3
82,EWD7NYa8Rv,XS,oz,7526,610.85,5
83,H6apuPyMa77X,3XL,per pack,7634,532.5,2
84,EXfeV908ZSO,3XL,lb,7622,796.02,14
85,huq0SCL,M,gal,7448,136.14,2
86,WbqHeHP7EMdA,2XL,lb,9516,967.53,1
87,TIRQQk,XL,lb,8831,832.78,6
88,8JiFCRF,3XL,liter,6200,383.43,16
89,IPfSCQ29p6y1,S,lb,7272,685.53,2
90,CTBlfB9Y,XS,per pack,2369,283.72,5
91,SjOR9oTPO,L,oz,9315,271.24,16
92,1vhJmKw,S,liter,1058,330.66,11
93,iuERrdj,M,per pack,8922,84.67,19
94,VWabO8,M,gal,3763,153.6,1
95,M64xkPjjC,S,oz,5166,712.33,8
96,OTM7P7,M,mL,3260,647.9,10
97,KWaO76c,M,per pack,8754,821.02,12
98,FXZgL5KeIEF,3XL,gram,3502,678.02,10
99,zKqW5l8LbiB,XS,oz,560,582.86,17
100,IM7erXH,S,liter,5753,917.95,10
101,qtOm9KGM3uz,XS,per pack,9265,884.15,16
102,V1cTE2IrjI,XL,oz,5230,508.81,7
103,iT9T89B7X1D,L,oz,2791,238.65,9
104,VXiJdfqIC,3XL,gal,3369,386.71,14
105,44Mkn3xz,M,mL,4785,352.88,4
106,IdCdPCK8Sy6B,XS,gram,8747,520.55,1
107,TvGlM0w,XL,gram,1777,529.76,9
108,efk98Bl,M,gal,4516,864.52,1
109,1asZAPFK,L,per pack,6491,756.0,19
110,At1Bhcj5Zh70,L,gal,5839,972.49,17
111,HMygqKEnW8RH,M,lb,1001,966.28,10
112,oMQvQInjp,2XL,liter,3813,299.93,4
113,JnqDRZK,S,mL,8303,158.92,6
114,RMS6tU6,2XL,gal,8489,113.63,7
115,L12NitxNQtp,S,per pack,3845,98.42,12
116,pSUVYSVc,3XL,gal,26,887.65,11
117,B6pEhwRU0k,2XL,gal,8661,869.96,17
118,cWAfq8l8G,XS,gram,183,832.07,3
119,FFDuxDQ,3XL,gal,8778,645.56,6
120,KOd3vM3q,2XL,gram,6625,237.74,6
121,9htHsMBGcz,S,per pack,810,845.22,3
122,CeQLqtkN1,XS,oz,600,78.0,19
