PNG6B3I8OUB9XUAN,VEGETA,Repair of consumer electronics,Bq,53.48
R3SA7YFOQ1C3CKEA,SPREADS,Manufacture of office and shop furniture,°C,15.92
24X20J5GCMDK1QGJ,OKF,"Manufacture of machinery for food, beverage and tobacco processing",H,2.2
H566ITMO0K4KHVR4,CURTIDO,Mining of uranium and thorium ores,mol,45.18
GF8MAFT86JJDRBD4,HEALTHEE,Retail sale of leather goods in specialised stores,Bq,93.62
0ENASM5JOJEBQ1XT,SUJA,Deep coal mines,kg,58.45
F1Q2LXDMQ3HQQTRT,LASAGNA,Construction of domestic buildings,V,22.89
LSQDVNDCE1L3OP4Y,ROAR,Freshwater fishing,A,47.35
UX733J05M5PMG69D,SITOS,Engineering design activities for industrial process and production,Pa,77.68
USVGTR3ALRH7QV00,BKRIB,Manufacture of medical and dental instruments and supplies,Ω,52.55
3URTMXPQ07LMFIRQ,MATZO,Copper production,Bq,90.44
8EPUEJHQKS0CK6IP,WESTON,Research and experimental development on biotechnology,lm,9.86
HLPYI8QHQ7R7T3BE,JUBILEE,Temporary employment agency activities,F,22.64
CQPN3CGGEZIKDUP9,ALBA,Manufacture of non-electronic industrial process control equipment,N,99.91
QRFBE0QDPJRN0XBZ,ZEVIA,Repair of consumer electronics,W,82.59
JT05PAJB4I21MERX,TANKA,Physical well-being activities,T,63.4
H09ZMUD8D2ZMN7GG,IDRINK,Primary education,lx,54.42
5RVP4SCFYDO1VQST,STRAWS,Life insurance,A,65.85
1BKAJ0UBDE6EQRTD,IBC,Cargo handling for land transport activities,Sv,95.88
PK3PNM2BTR3R48V7,ABDALLAH,Shaping and processing of flat glass,kg,93.7
S4ZZ6ZB48FOBVND2,VENUS,Other publishing activities,sr,57.37
ANZQZUQYKSRYFHSV,BUFALO,Translation and interpretation activities,V,35.87
RNEVDBXUX3PFNJT3,APRICOTS,Operation of arts facilities,kg,49.2
V5CZUZGC61UCRMFN,FONDANT,Risk and damage evaluation,W,58.95
TB39EDKER84RFLHS,PALADINI,Glazing,Hz,61.83
3VCQ86LZXK6MTLCV,NISSIN,Manufacture of light metal packaging,cd,19.08
7MD8KPYSFLLQJ84C,TABOULI,"Motion picture, television and other theatrical casting activities",cd,2.49
5Q5KHYCKGYRX8R5L,BOLIO,Activities of property unit trusts,K,9.78
498J5NY53D6Z8QMB,MUCHACHA,Manufacture of telegraph and telephone apparatus and equipment,mol,12.62
EEXT0JS8JUX4HCG8,PIEROGI,Construction of other civil engineering projects n.e.c.,Bq,7
QQFFSKJ846USQY6E,HOSEMER,Manufacture of pulp,Pa,39.83
UJCTSMHNABHYIHHL,FARFALLE,Manufacture of soft drinks; production of mineral waters and other bottled waters,cd,22.75
8LBOR9LY4VYEBO75,ZOUQ,Extraction of peat,K,22.01
MA86ELLRKN2LG15M,SPREAD,Growing of oleaginous fruits,T,67.83
82Q0MQ1U4ILMDH9N,SOFRITO,Activities of professional membership organizations,kg,93.68
CNJQE7CU02A3T15I,CRABMEAT,Manufacture of military fighting vehicles,°C,39.69
KHUAPYIGK6SM8QM0,SKYBAR,Manufacture of assembled parquet floors,W,88.72
R7ODUKRYK5N748GM,SIMMS,Manufacture of office and shop furniture,s,24.11
X1HUJEVHQBIOEJ5U,KOMBU,Service activities incidental to water transportation,cd,52.42
O86KOV2GI4C09IS9,DAIRY,Wholesale of other office machinery and equipment,H,76.54
9O05QKTHO417VO25,CARLITA,Management consultancy activities other than financial management,mol,11.86
9KJRULD2U1N8NS5U,FATWORKS,Retail sale of other second-hand goods in stores (not incl. antiques),A,68.71
662Z9QZVQ7KEGCQ3,HAM,Manufacture of plastics in primary forms,K,39.83
KITUXZ3Q6QEMRDXQ,TEMPO,Manufacture of household and sanitary goods and of toilet requisites,kg,85.49
OHCL9EO50DD8MPJK,UPSTART,Manufacture of cleaning and polishing preparations,W,97.84
HAJJ02EEBHUZ1XHF,MARIO,Manufacture of pulp,lm,85
F5ISXST40F3BZJ5L,PEPITAS,Undifferentiated goods-producing activities of private households for own use,J,45.79
JMD7U8ZN9RKCIHTV,IBC,Cold forming or folding,A,83.71
ILA3PHGB5HBJ2S65,RAISINS,Justice and judicial activities,Sv,24.56
